Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_10,CPU_TEMP_11,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_TEMP_7,CPU_TEMP_8,CPU_TEMP_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
199,1771534867046,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,21.052631378173828,15.000000953674316,0,0,13.636363983154297,13.636363983154297,0,0,0,0,0,0,7.30369234085083,25769803776,7516192768,14859124736,5823070208
207,1771534867246,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,28.571430206298828,15.000000953674316,0,0,10,0,0,0,0,0,0,0,7.30369234085083,25769803776,7516192768,14829780992,5823070208
203,1771534867454,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,23.809524536132813,19.047618865966797,0,0,10,9.523809432983398,0,0,0,0,0,0,8.307534217834473,25769803776,7516192768,14829748224,5823070208
200,1771534867659,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,25,15.000000953674316,0,0,9.523809432983398,4.761904716491699,0,0,0,0,0,0,8.307534217834473,25769803776,7516192768,14829797376,5823070208
209,1771534867860,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,25,15.000000953674316,0,0,10,5,0,0,0,0,0,0,8.307534217834473,25769803776,7516192768,14829813760,5823070208
209,1771534868070,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,20,14.285715103149414,0,0,5,9.523809432983398,0,0,0,0,0,0,8.307534217834473,25769803776,7516192768,14829535232,5823070208
210,1771534868280,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,22.72727394104004,19.047618865966797,0,0,13.636363983154297,0,0,0,0,0,0,0,8.503868103027344,25769803776,7516192768,14808580096,5823070208
204,1771534868491,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,21.052631378173828,20,0,0,14.285715103149414,13.636363983154297,0,0,0,0,0,4.545454502105713,8.503868103027344,25769803776,7516192768,14808580096,5823070208
206,1771534868696,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,27.272727966308594,14.285715103149414,19.047618865966797,10,15.000000953674316,5,10,14.285715103149414,10,10,14.285715103149414,14.285715103149414,8.503868103027344,25769803776,7516192768,14761328640,5823070208
208,1771534868903,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,21.052631378173828,15.000000953674316,0,0,9.523809432983398,9.090909004211426,0,0,0,0,0,0,8.503868103027344,25769803776,7516192768,14761312256,5823070208
207,1771534869111,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,33.333335876464844,23.809524536132813,0,0,30.000001907348633,15.789472579956055,0,0,0,0,0,0,8.503868103027344,25769803776,7516192768,14761066496,5823070208
207,1771534869320,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,33.333335876464844,28.571430206298828,14.285715103149414,9.523809432983398,38.095237731933594,42.85714340209961,10,10,9.523809432983398,9.523809432983398,10,10,8.046087265014648,25769803776,7516192768,14737948672,5823070208
209,1771534869528,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,23.809524536132813,15.000000953674316,0,0,14.285715103149414,4.761904716491699,0,0,0,0,4.545454502105713,0,8.046087265014648,25769803776,7516192768,14738079744,5823070208
